Time_s,Mbits_Sent,Mbits_per_s,#Deflections,Max_Throughput
0.0,0.12144,3.33408,1,10
0.1,0.78384,4.49328,1,10
0.2,1.79952,5.37648,1,10
0.3,2.6496,6.348,1,10
0.4,3.33408,7.3416,1,10
0.5,4.49328,8.26896,1,10
0.6,5.37648,9.14112,1,10
0.7,6.348,9.428159999999998,1,10
0.8,7.3416,9.339839999999999,1,10
0.9,8.26896,9.50544,1,10
1.0,9.26256,9.7704,1,10
1.1,10.212,9.53856,1,10
1.2,11.13936,9.626880000000002,1,10
1.3,12.15504,9.626880000000002,1,10
1.4,13.10448,9.604800000000001,1,10
1.5,14.03184,9.604800000000001,1,10
1.6,15.00336,9.62688,1,10
1.7,15.97488,9.62688,1,10
1.8,16.9464,9.62688,1,10
1.9,17.87376,9.582720000000002,1,10
2.0,18.88944,9.626879999999998,1,10
2.1,19.83888,9.64896,1,10
2.2,20.76624,9.671039999999998,1,10
2.3,21.73776,9.64896,1,10
2.4,22.73136,9.62688,1,10
2.5,23.6808,9.648959999999999,1,10
2.6,24.6744,9.604800000000001,1,10
2.7,25.62384,9.62688,1,10
2.8,26.57328,9.671040000000001,1,10
2.9,27.52272,9.648959999999999,1,10
3.0,28.49424,9.604800000000001,1,10
3.1,29.46576,9.648959999999999,1,10
3.2,30.43728,9.604800000000004,1,10
3.3,31.38672,9.604799999999997,1,10
3.4,32.33616,9.648959999999999,1,10
3.5,33.32976,9.648960000000002,1,10
3.6,34.2792,9.648959999999999,1,10
3.7,35.22864,9.604800000000001,1,10
3.8,36.22224,9.62688,1,10
3.9,37.17168,9.604800000000001,1,10
4.0,38.1432,9.62688,1,10
4.1,39.07056,9.604799999999997,1,10
4.2,40.06416,9.62688,1,10
4.3,40.99152,9.62688,1,10
4.4,41.96304,9.604799999999997,1,10
4.5,42.93456,9.62688,1,10
4.6,43.90608,9.62688,1,10
4.7,44.85552,9.62688,1,10
4.8,45.82704,9.582720000000002,1,10
4.9,46.79856,9.604799999999997,1,10
5.0,47.77008,9.648960000000002,1,10
5.1,48.69744,9.604800000000004,1,10
5.2,49.64688,9.582719999999995,1,10
5.3,50.59632,9.648960000000002,1,10
5.4,51.612,9.62688,1,10
5.5,52.53936,9.582719999999995,1,10
5.6,53.4888,9.604799999999997,1,10
5.7,54.50448,9.62688,1,10
5.8,55.45392,9.306719999999999,1,10
5.9,56.38128,9.660000000000004,1,10
6.0,57.37488,9.57168,1,10
6.1,58.32432,9.637920000000001,1,10
6.2,58.9536,9.660000000000004,1,10
6.3,60.25632,9.593760000000003,1,10
6.4,61.18368,9.615840000000006,1,10
6.5,62.17728,9.637920000000001,1,10
6.6,63.1488,9.615839999999999,1,10
6.7,64.09824,9.615840000000006,1,10
6.8,65.06976,9.936,1,10
6.9,66.0192,9.604799999999997,1,10
7.0,66.99072,9.671039999999998,1,10
7.1,67.94016,9.626879999999993,1,10
7.2,68.8896,9.626879999999993,1,10
7.3,69.86112,9.62688,1,10
7.4,70.85472,9.582719999999995,1,10
7.5,71.80416,9.62688,1,10
7.6,72.77568,9.604799999999997,1,10
7.7,73.72512,9.62688,1,10
7.8,74.65248,9.62688,1,10
7.9,75.64608,9.648960000000002,1,10
8.0,76.59552,9.62688,1,10
8.1,77.56704,9.582720000000009,1,10
8.2,78.51648,9.582720000000009,1,10
8.3,79.51008,9.62688,1,10
8.4,80.4816,9.62688,1,10
8.5,81.38688,9.648960000000002,1,10
8.6,82.3584,9.62688,1,10
8.7,83.352,9.62688,1,10
8.8,84.27936,9.62688,1,10
8.9,85.29504,9.604799999999997,1,10
9.0,86.2224,9.604799999999997,1,10
9.1,87.19392,9.648959999999988,1,10
9.2,88.14336,9.648960000000002,1,10
9.3,89.11488,9.604799999999997,1,10
9.4,90.0864,9.648960000000002,1,10
9.5,91.03584,9.604799999999997,1,10
9.6,92.00736,9.648960000000002,1,10
9.7,92.9568,9.62688,1,10
9.8,93.92832,9.62688,1,10
9.9,94.89984,9.62688,1,10
10.0,95.87136,9.648960000000002,1,10
10.1,96.8208,9.604800000000012,1,10
10.2,97.77024,9.648959999999988,1,10
10.3,98.74176,9.604799999999997,1,10
10.4,99.73536,9.648960000000002,1,10
10.5,100.64064,9.604799999999997,1,10
10.6,101.65632,9.582720000000009,1,10
10.7,102.5616,9.62688,1,10
10.8,103.57728,9.604799999999997,1,10
10.9,104.50464,9.62688,1,10
11.0,105.45408,9.560640000000006,1,10
11.1,106.44768,9.648959999999988,1,10
11.2,107.37504,9.582720000000009,1,10
11.3,108.36864,9.671040000000005,1,10
11.4,109.296,9.582719999999995,1,10
11.5,110.2896,9.648960000000002,1,10
11.6,111.23904,9.62688,1,10
11.7,112.23264,9.648959999999988,1,10
11.8,113.16,9.648960000000002,1,10
11.9,114.1536,9.648960000000002,1,10
12.0,115.08096,9.62688,1,10
12.1,116.09664,9.604800000000012,1,10
12.2,117.024,9.62688,1,10
12.3,118.0176,9.604799999999997,1,10
12.4,118.92288,9.62688,1,10
12.5,119.8944,9.604799999999997,1,10
12.6,120.86592,9.67103999999999,1,10
12.7,121.83744,9.604800000000012,1,10
12.8,122.78688,9.604799999999997,1,10
12.9,123.7584,9.62688,1,10
13.0,124.752,9.626879999999986,1,10
13.1,125.70144,9.67103999999999,1,10
13.2,126.6288,9.604799999999997,1,10
13.3,127.64448,9.626879999999986,1,10
13.4,128.54976,9.62688,1,10
13.5,129.56544,9.604800000000012,1,10
13.6,130.47072,9.626880000000014,1,10
13.7,131.46432,9.626879999999986,1,10
13.8,132.41376,9.019680000000008,1,10
13.9,133.3632,9.582720000000009,1,10
14.0,134.37888,9.648960000000017,1,10
14.1,135.32832,9.582719999999995,1,10
14.2,135.64848,9.671040000000005,1,10
14.3,137.2272,9.604800000000012,1,10
14.4,138.19872,9.648960000000017,1,10
14.5,139.14816,9.62688,1,10
14.6,140.14176,9.604799999999983,1,10
14.7,141.06912,9.62688,1,10
14.8,142.06272,10.278239999999983,1,10
14.9,142.99008,9.604799999999983,1,10
15.0,143.98368,9.604799999999983,1,10
15.1,144.9552,9.62688,1,10
15.2,145.92672,9.62688,1,10
15.3,146.832,9.62688,1,10
15.4,147.80352,9.604799999999983,1,10
15.5,148.77504,9.648959999999988,1,10
15.6,149.76864,9.582719999999995,1,10
15.7,150.696,9.62688,1,10
15.8,151.66752,9.560640000000006,1,10
15.9,152.63904,9.648960000000017,1,10
16.0,153.5664,9.604800000000012,1,10
16.1,154.58208,9.604800000000012,1,10
16.2,155.48736,9.604799999999983,1,10
16.3,156.48096,9.604800000000012,1,10
16.4,157.40832,9.62688,1,10
16.5,158.37984,9.648960000000017,1,10
16.6,159.37344,9.671040000000005,1,10
16.7,160.3008,9.62688,1,10
16.8,161.2944,9.648960000000017,1,10
16.9,162.288,9.62688,1,10
17.0,163.23744,9.693119999999993,1,10
17.1,164.20896,9.671040000000005,1,10
17.2,165.13632,9.604800000000012,1,10
17.3,166.10784,9.648959999999988,1,10
17.4,167.10144,9.62688,1,10
17.5,168.05088,9.582719999999995,1,10
17.6,168.97824,9.604800000000012,1,10
17.7,169.94976,9.560640000000006,1,10
17.8,170.92128,9.648959999999988,1,10
17.9,171.87072,9.648959999999988,1,10
18.0,172.84224,9.582719999999995,1,10
18.1,173.7696,9.62688,1,10
18.2,174.78528,9.604800000000012,1,10
18.3,175.7568,9.62688,1,10
18.4,176.68416,9.62688,1,10
18.5,177.67776,9.62688,1,10
18.6,178.58304,9.604799999999983,1,10
18.7,179.57664,9.648960000000017,1,10
18.8,180.54816,9.62688,1,10
18.9,181.4976,9.604800000000012,1,10
19.0,182.44704,9.604800000000012,1,10
19.1,183.41856,9.582719999999995,1,10
19.2,184.41216,9.648959999999988,1,10
19.3,185.3616,9.62688,1,10
19.4,186.28896,9.62688,1,10
19.5,187.26048,9.62688,1,10
19.6,188.232,9.62688,1,10
19.7,189.20352,9.62688,1,10
19.8,190.17504,9.62688,1,10
19.9,191.12448,9.604799999999983,1,10
20.0,192.07392,9.671040000000005,1,10
20.1,193.04544,9.671040000000005,1,10
20.2,194.03904,9.648959999999988,1,10
20.3,194.9664,9.62688,1,10
20.4,195.96,9.62688,1,10
20.5,196.93152,9.62688,1,10
20.6,197.88096,9.648960000000017,1,10
20.7,198.8304,9.62688,1,10
20.8,199.80192,9.62688,1,10
20.9,200.75136,9.648960000000017,1,10
21.0,201.72288,9.62688,1,10
21.1,202.67232,9.582719999999995,1,10
21.2,203.66592,9.604800000000012,1,10
